0#2020-04-17#Andaman and Nicobar Islands#1403.0#1210#12.0
1#2020-04-24#Andaman and Nicobar Islands#2679.0##27.0
2#2020-04-27#Andaman and Nicobar Islands#2848.0##33.0
3#2020-05-01#Andaman and Nicobar Islands#3754.0##33.0
4#2020-05-16#Andaman and Nicobar Islands#6677.0##33.0
5#2020-05-19#Andaman and Nicobar Islands#6965.0##33.0
6#2020-05-20#Andaman and Nicobar Islands#7082.0##33.0
7#2020-05-21#Andaman and Nicobar Islands#7167.0##33.0
8#2020-05-22#Andaman and Nicobar Islands#7263.0##33.0
9#2020-05-23#Andaman and Nicobar Islands#7327.0##33.0
10#2020-05-24#Andaman and Nicobar Islands#7327.0##33.0
11#2020-05-25#Andaman and Nicobar Islands#7363.0##33.0
12#2020-05-26#Andaman and Nicobar Islands#7448.0##33.0
13#2020-05-27#Andaman and Nicobar Islands#7499.0##33.0
14#2020-05-28#Andaman and Nicobar Islands#7519.0##33.0
15#2020-05-29#Andaman and Nicobar Islands#7567.0##33.0
16#2020-05-30#Andaman and Nicobar Islands#7567.0##33.0
17#2020-05-31#Andaman and Nicobar Islands#7706.0##33.0
18#2020-06-01#Andaman and Nicobar Islands#7805.0##33.0
19#2020-06-02#Andaman and Nicobar Islands#8086.0##33.0
20#2020-06-03#Andaman and Nicobar Islands#8295.0##33.0
21#2020-06-04#Andaman and Nicobar Islands#8413.0##33.0
22#2020-06-05#Andaman and Nicobar Islands#8694.0##33.0
23#2020-06-06#Andaman and Nicobar Islands#9037.0##33.0
24#2020-06-07#Andaman and Nicobar Islands#9242.0##33.0
25#2020-06-08#Andaman and Nicobar Islands#9341.0##33.0
26#2020-06-09#Andaman and Nicobar Islands#9859.0##33.0
27#2020-06-10#Andaman and Nicobar Islands#10010.0##35.0
28#2020-06-11#Andaman and Nicobar Islands#10226.0##38.0
29#2020-06-12#Andaman and Nicobar Islands#10697.0##38.0
30#2020-06-13#Andaman and Nicobar Islands#10955.0##38.0
31#2020-06-14#Andaman and Nicobar Islands#11356.0##38.0
32#2020-06-15#Andaman and Nicobar Islands#11518.0##41.0
